Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1680991200.0 102.0 83 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 576 NA NA NA NA NA NA NA 591 NA NA NA NA NA NA NA
1680991200.0 10224.0 NA 125 201 0 NA NA NA NA NA 190 273 0 NA NA NA NA NA 2155 1873 226 NA NA NA NA NA 3057 2806 240 NA NA NA NA
1680991200.0 10225.0 NA 124 200 0 NA NA NA NA NA 192 276 0 NA NA NA NA NA 2211 1753 223 NA NA NA NA NA 3143 2783 252 NA NA NA NA
1680991200.0 103.0 46 75 187 NA NA NA NA NA 90 148 253 NA NA NA NA NA 469 154 263 NA NA NA NA NA 514 168 292 NA NA NA NA NA
1680991200.0 105.0 51 76 17 NA NA NA NA NA 96 148 53 NA NA NA NA NA 1390 259 2 NA NA NA NA NA 1451 283 10 NA NA NA NA NA
1680991200.0 106.0 37 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 270 62 122 NA NA NA NA NA 277 67 141 NA NA NA NA NA
1680991200.0 107.0 51 76 186 NA NA NA NA NA 97 148 254 NA NA NA NA NA 2534 269 344 NA NA NA NA NA 2566 301 382 NA NA NA NA NA
1680991200.0 108.0 55 76 191 NA NA NA NA NA 99 148 254 NA NA NA NA NA 3363 277 412 NA NA NA NA NA 3416 310 452 NA NA NA NA NA
1680991200.0 109.0 55 80 190 NA NA NA NA NA 100 148 254 NA NA NA NA NA 3928 286 442 NA NA NA NA NA 3982 321 490 NA NA NA NA NA
1680991200.0 11.0 NA 76 202 0 53 NA NA NA NA 146 265 0 90 NA NA NA NA 1251 632 408 29 NA NA NA NA 1281 687 448 38 NA NA NA
1680991200.0 110.0 46 75 186 NA NA NA NA NA 87 148 253 NA NA NA NA NA 380 247 279 NA NA NA NA NA 397 259 313 NA NA NA NA NA
1680991200.0 1102.0 NA 80 197 122 66 NA NA NA NA 146 260 170 112 NA NA NA NA 1817 2181 1692 132 NA NA NA NA 1846 2302 1764 143 NA NA NA
1680991200.0 111.0 51 76 188 NA NA NA NA NA 96 148 254 NA NA NA NA NA 1558 210 322 NA NA NA NA NA 1588 229 373 NA NA NA NA NA
1680991200.0 112.0 53 77 187 NA NA NA NA NA 98 158 254 NA NA NA NA NA 2573 274 347 NA NA NA NA NA 2599 311 386 NA NA NA NA NA
1680991200.0 113.0 53 83 188 NA NA NA NA NA 98 148 254 NA NA NA NA NA 2607 275 338 NA NA NA NA NA 2632 325 372 NA NA NA NA NA
1680991200.0 114.0 53 76 188 NA NA NA NA NA 97 148 253 NA NA NA NA NA 2363 270 348 NA NA NA NA NA 2391 309 394 NA NA NA NA NA
1680991200.0 115.0 54 77 189 NA NA NA NA NA 99 148 254 NA NA NA NA NA 3184 279 364 NA NA NA NA NA 3227 334 405 NA NA NA NA NA
1680991200.0 116.0 54 76 190 NA NA NA NA NA 99 148 254 NA NA NA NA NA 2923 281 370 NA NA NA NA NA 2959 304 399 NA NA NA NA NA
1680991200.0 117.0 55 78 188 NA NA NA NA NA 99 148 254 NA NA NA NA NA 3826 288 418 NA NA NA NA NA 3867 313 478 NA NA NA NA NA
1680991200.0 118.0 54 77 188 NA NA NA NA NA 99 148 254 NA NA NA NA NA 2934 280 403 NA NA NA NA NA 2958 305 440 NA NA NA NA NA
1680991200.0 119.0 53 77 191 NA NA NA NA NA 98 148 254 NA NA NA NA NA 2549 271 337 NA NA NA NA NA 2573 303 385 NA NA NA NA NA
1680991200.0 12.0 NA 78 192 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1419 1505 414 NA NA NA NA NA 1456 1559 441 NA NA NA NA
1680991200.0 120.0 44 72 184 NA NA NA NA NA 87 148 253 NA NA NA NA NA 333 242 273 NA NA NA NA NA 382 253 300 NA NA NA NA NA
1680991200.0 121.0 54 84 190 NA NA NA NA NA 99 148 254 NA NA NA NA NA 3911 289 417 NA NA NA NA NA 3982 308 455 NA NA NA NA NA
1680991200.0 122.0 51 76 184 NA NA NA NA NA 95 158 254 NA NA NA NA NA 899 181 277 NA NA NA NA NA 926 216 326 NA NA NA NA NA
1680991200.0 123.1 168 NA NA NA NA NA NA NA 237 NA NA NA NA NA NA NA 433 NA NA NA NA NA NA NA 482 NA NA NA NA NA NA NA
1680991200.0 123.2 170 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 499 NA NA NA NA NA NA NA 535 NA NA NA NA NA NA NA
1680991200.0 123.3 159 NA NA NA NA NA NA NA 221 NA NA NA NA NA NA NA 287 NA NA NA NA NA NA NA 337 NA NA NA NA NA NA NA
1680991200.0 124.1 164 NA NA NA NA NA NA NA 230 NA NA NA NA NA NA NA 292 NA NA NA NA NA NA NA 337 NA NA NA NA NA NA NA
1680991200.0 124.2 168 NA NA NA NA NA NA NA 237 NA NA NA NA NA NA NA 387 NA NA NA NA NA NA NA 438 NA NA NA NA NA NA NA
1680991200.0 124.4 167 NA NA NA NA NA NA NA 230 NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA 338 NA NA NA NA NA NA NA
1680991200.0 124.5 164 NA NA NA NA NA NA NA 230 NA NA NA NA NA NA NA 302 NA NA NA NA NA NA NA 341 NA NA NA NA NA NA NA
1680991200.0 124.6 161 NA NA NA NA NA NA NA 221 NA NA NA NA NA NA NA 289 NA NA NA NA NA NA NA 312 NA NA NA NA NA NA NA
1680991200.0 125.0 54 81 187 NA NA NA NA NA 99 149 254 NA NA NA NA NA 3408 273 353 NA NA NA NA NA 3484 300 408 NA NA NA NA NA
1680991200.0 126.0 45 74 185 NA NA NA NA NA 88 148 253 NA NA NA NA NA 642 247 292 NA NA NA NA NA 683 285 332 NA NA NA NA NA
1680991200.0 127.0 43 72 184 NA NA NA NA NA 83 148 253 NA NA NA NA NA 771 243 285 NA NA NA NA NA 826 266 325 NA NA NA NA NA
1680991200.0 128.0 44 74 185 NA NA NA NA NA 82 148 253 NA NA NA NA NA 313 245 278 NA NA NA NA NA 324 258 315 NA NA NA NA NA
1680991200.0 129.0 43 73 185 NA NA NA NA NA 82 148 253 NA NA NA NA NA 324 241 273 NA NA NA NA NA 375 255 308 NA NA NA NA NA
1680991200.0 13.0 NA 72 187 0 NA NA NA NA NA 146 253 0 NA NA NA NA NA 196 544 346 NA NA NA NA NA 223 582 375 NA NA NA NA
1680991200.0 130.0 45 72 185 NA NA NA NA NA 83 148 253 NA NA NA NA NA 382 241 276 NA NA NA NA NA 398 254 312 NA NA NA NA NA
1680991200.0 1301.0 59 133 168 NA NA NA NA NA 103 198 233 NA NA NA NA NA 1001 342 804 NA NA NA NA NA 1079 445 918 NA NA NA NA NA
1680991200.0 1302.0 63 145 171 NA NA NA NA NA 108 198 234 NA NA NA NA NA 4931 493 1100 NA NA NA NA NA 5040 572 1199 NA NA NA NA NA
1680991200.0 1303.0 65 144 182 NA NA NA NA NA 109 198 239 NA NA NA NA NA 6492 686 1467 NA NA NA NA NA 6628 754 1553 NA NA NA NA NA
1680991200.0 1306.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1307.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1308.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1309.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 131.0 45 74 184 NA NA NA NA NA 84 148 253 NA NA NA NA NA 746 248 293 NA NA NA NA NA 800 288 330 NA NA NA NA NA
1680991200.0 1310.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1311.0 NA 149 224 0 61 NA NA NA NA 215 291 0 102 NA NA NA NA 368 713 1230 66 NA NA NA NA 467 857 1264 123 NA NA NA
1680991200.0 1312.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1313.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1314.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1315.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1316.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1317.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1318.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1319.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 132.0 51 80 188 NA NA NA NA NA 94 148 253 NA NA NA NA NA 1832 263 337 NA NA NA NA NA 1866 287 394 NA NA NA NA NA
1680991200.0 1320.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1321.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1322.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1323.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1324.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1325.0 NA 159 251 0 68 NA NA NA NA 224 316 0 109 NA NA NA NA 490 1061 1206 105 NA NA NA NA 639 1187 1244 203 NA NA NA
1680991200.0 1326.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1327.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1328.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1329.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 133.0 56 78 191 NA NA NA NA NA 100 148 254 NA NA NA NA NA 4339 289 451 NA NA NA NA NA 4791 321 479 NA NA NA NA NA
1680991200.0 1330.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1331.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1332.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1333.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1334.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1335.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1336.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1337.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1338.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1339.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 134.0 NA 213 35 0 NA NA NA NA NA 285 70 0 NA NA NA NA NA 1868 5 6 NA NA NA NA NA 1941 17 9 NA NA NA NA
1680991200.0 134.701 NA 39 235 0 NA NA NA NA NA 80 306 0 NA NA NA NA NA 116 3206 365 NA NA NA NA NA 142 3441 405 NA NA NA NA
1680991200.0 134.702 NA 33 227 0 NA NA NA NA NA 77 299 0 NA NA NA NA NA 133 4409 368 NA NA NA NA NA 153 4966 385 NA NA NA NA
1680991200.0 134.703 NA 41 238 0 NA NA NA NA NA 82 313 0 NA NA NA NA NA 130 4281 374 NA NA NA NA NA 148 4391 412 NA NA NA NA
1680991200.0 134.704 NA 42 240 0 NA NA NA NA NA 78 302 0 NA NA NA NA NA 130 4139 378 NA NA NA NA NA 142 4921 406 NA NA NA NA
1680991200.0 134.705 NA 45 238 0 NA NA NA NA NA 82 319 0 NA NA NA NA NA 132 4539 366 NA NA NA NA NA 151 5309 534 NA NA NA NA
1680991200.0 134.706 NA 45 243 0 NA NA NA NA NA 81 307 0 NA NA NA NA NA 148 5065 416 NA NA NA NA NA 170 5180 446 NA NA NA NA
1680991200.0 134.707 NA 41 228 0 NA NA NA NA NA 80 304 0 NA NA NA NA NA 128 4022 376 NA NA NA NA NA 142 4136 399 NA NA NA NA
1680991200.0 134.708 NA 37 233 0 NA NA NA NA NA 79 302 0 NA NA NA NA NA 130 3967 363 NA NA NA NA NA 206 4386 384 NA NA NA NA
1680991200.0 134.709 NA 39 236 0 NA NA NA NA NA 81 309 0 NA NA NA NA NA 127 4144 362 NA NA NA NA NA 149 4283 386 NA NA NA NA
1680991200.0 134.71 NA 30 224 0 NA NA NA NA NA 74 294 0 NA NA NA NA NA 111 2730 349 NA NA NA NA NA 127 2885 367 NA NA NA NA
1680991200.0 134.801 NA 35 227 0 NA NA NA NA NA 79 307 0 NA NA NA NA NA 121 2962 344 NA NA NA NA NA 144 3130 367 NA NA NA NA
1680991200.0 134.802 NA 32 231 0 NA NA NA NA NA 81 305 0 NA NA NA NA NA 177 5970 394 NA NA NA NA NA 194 6095 418 NA NA NA NA
1680991200.0 134.803 NA 42 239 0 NA NA NA NA NA 82 303 0 NA NA NA NA NA 160 4875 333 NA NA NA NA NA 185 5664 430 NA NA NA NA
1680991200.0 134.804 NA 33 238 0 NA NA NA NA NA 81 310 0 NA NA NA NA NA 176 5962 396 NA NA NA NA NA 194 6070 423 NA NA NA NA
1680991200.0 134.805 NA 34 238 0 NA NA NA NA NA 83 315 0 NA NA NA NA NA 177 5804 401 NA NA NA NA NA 195 5925 434 NA NA NA NA
1680991200.0 134.806 NA 36 238 0 NA NA NA NA NA 80 311 0 NA NA NA NA NA 185 6434 397 NA NA NA NA NA 199 6830 454 NA NA NA NA
1680991200.0 134.807 NA 75 248 0 NA NA NA NA NA 141 329 0 NA NA NA NA NA 580 5933 445 NA NA NA NA NA 625 6261 479 NA NA NA NA
1680991200.0 134.808 NA 76 249 0 NA NA NA NA NA 141 330 0 NA NA NA NA NA 594 6191 425 NA NA NA NA NA 625 6540 444 NA NA NA NA
1680991200.0 134.809 NA 34 231 0 NA NA NA NA NA 79 306 0 NA NA NA NA NA 180 5486 385 NA NA NA NA NA 199 5839 413 NA NA NA NA
1680991200.0 134.81 NA 35 234 0 NA NA NA NA NA 80 303 0 NA NA NA NA NA 176 5584 406 NA NA NA NA NA 194 5701 430 NA NA NA NA
1680991200.0 134.811 NA 34 234 0 NA NA NA NA NA 80 312 0 NA NA NA NA NA 180 5853 397 NA NA NA NA NA 194 5965 423 NA NA NA NA
1680991200.0 134.812 NA 31 224 0 NA NA NA NA NA 78 297 0 NA NA NA NA NA 126 2967 352 NA NA NA NA NA 164 3124 375 NA NA NA NA
1680991200.0 134.813 NA 115 62 0 NA NA NA NA NA 193 95 0 NA NA NA NA NA 465 53 115 NA NA NA NA NA 484 58 126 NA NA NA NA
1680991200.0 134.901 NA 36 224 0 NA NA NA NA NA 79 298 0 NA NA NA NA NA 127 2984 362 NA NA NA NA NA 157 3120 384 NA NA NA NA
1680991200.0 134.902 NA 34 225 0 NA NA NA NA NA 83 304 0 NA NA NA NA NA 144 3914 363 NA NA NA NA NA 161 4120 384 NA NA NA NA
1680991200.0 134.903 NA 36 225 0 NA NA NA NA NA 83 297 0 NA NA NA NA NA 144 3597 359 NA NA NA NA NA 158 3776 387 NA NA NA NA
1680991200.0 134.904 NA 33 230 0 NA NA NA NA NA 81 300 0 NA NA NA NA NA 148 4436 364 NA NA NA NA NA 164 5002 384 NA NA NA NA
1680991200.0 134.905 NA 40 226 0 NA NA NA NA NA 81 302 0 NA NA NA NA NA 143 3568 355 NA NA NA NA NA 155 3670 377 NA NA NA NA
1680991200.0 134.906 NA 42 236 0 NA NA NA NA NA 81 301 0 NA NA NA NA NA 147 4252 375 NA NA NA NA NA 161 5023 400 NA NA NA NA
1680991200.0 134.907 NA 79 243 0 NA NA NA NA NA 141 318 0 NA NA NA NA NA 419 3887 370 NA NA NA NA NA 443 3987 407 NA NA NA NA
1680991200.0 134.908 NA 78 246 0 NA NA NA NA NA 143 313 0 NA NA NA NA NA 427 4007 374 NA NA NA NA NA 623 4485 406 NA NA NA NA
1680991200.0 134.909 NA 44 224 0 NA NA NA NA NA 82 297 0 NA NA NA NA NA 139 3748 359 NA NA NA NA NA 154 3861 391 NA NA NA NA
1680991200.0 134.91 NA 36 226 0 NA NA NA NA NA 81 294 0 NA NA NA NA NA 138 3430 364 NA NA NA NA NA 149 3549 396 NA NA NA NA
1680991200.0 134.911 NA 34 226 0 NA NA NA NA NA 81 300 0 NA NA NA NA NA 142 3583 359 NA NA NA NA NA 167 3700 393 NA NA NA NA
1680991200.0 134.912 NA 31 221 0 NA NA NA NA NA 78 291 0 NA NA NA NA NA 128 2738 343 NA NA NA NA NA 159 2867 378 NA NA NA NA
1680991200.0 134.99601 NA 33 230 0 NA NA NA NA NA 80 310 0 NA NA NA NA NA 186 6367 384 NA NA NA NA NA 208 6709 413 NA NA NA NA
1680991200.0 134.99602 NA 33 224 0 NA NA NA NA NA 81 298 0 NA NA NA NA NA 144 3392 370 NA NA NA NA NA 173 3542 389 NA NA NA NA
1680991200.0 134.99603 NA 43 229 0 NA NA NA NA NA 81 306 0 NA NA NA NA NA 176 5297 391 NA NA NA NA NA 195 5606 434 NA NA NA NA
1680991200.0 134.99901 NA 33 225 0 NA NA NA NA NA 81 297 0 NA NA NA NA NA 140 3492 363 NA NA NA NA NA 154 3650 388 NA NA NA NA
1680991200.0 1340.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1341.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1343.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1344.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1345.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1347.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1348.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 135.1 224 0 112 NA NA NA NA NA 302 0 157 NA NA NA NA NA 709 245 419 NA NA NA NA NA 830 263 499 NA NA NA NA NA
1680991200.0 135.11 230 0 109 NA NA NA NA NA 307 0 159 NA NA NA NA NA 804 231 420 NA NA NA NA NA 906 255 480 NA NA NA NA NA
1680991200.0 135.12 217 0 108 NA NA NA NA NA 297 0 158 NA NA NA NA NA 549 215 324 NA NA NA NA NA 663 239 394 NA NA NA NA NA
1680991200.0 135.2 207 0 105 NA NA NA NA NA 279 0 148 NA NA NA NA NA 433 216 322 NA NA NA NA NA 529 254 411 NA NA NA NA NA
1680991200.0 135.3 208 0 105 NA NA NA NA NA 279 0 152 NA NA NA NA NA 395 196 317 NA NA NA NA NA 494 217 394 NA NA NA NA NA
1680991200.0 135.4 220 0 108 NA NA NA NA NA 299 0 156 NA NA NA NA NA 610 240 355 NA NA NA NA NA 719 276 434 NA NA NA NA NA
1680991200.0 135.5 218 0 108 NA NA NA NA NA 296 0 154 NA NA NA NA NA 511 215 297 NA NA NA NA NA 599 237 371 NA NA NA NA NA
1680991200.0 135.6 220 0 108 NA NA NA NA NA 298 0 157 NA NA NA NA NA 626 241 367 NA NA NA NA NA 746 278 446 NA NA NA NA NA
1680991200.0 135.7 219 0 107 NA NA NA NA NA 298 0 156 NA NA NA NA NA 543 238 372 NA NA NA NA NA 648 276 488 NA NA NA NA NA
1680991200.0 135.8 82 NA NA NA NA NA NA NA 138 NA NA NA NA NA NA NA 173 NA NA NA NA NA NA NA 219 NA NA NA NA NA NA NA
1680991200.0 135.9 220 0 108 NA NA NA NA NA 299 0 156 NA NA NA NA NA 484 218 315 NA NA NA NA NA 581 240 397 NA NA NA NA NA
1680991200.0 1350.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1351.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1352.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1353.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1354.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1355.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1680991200.0 1356.0 62 159 254 0 110 NA NA NA 107 218 327 0 161 NA NA NA 3829 494 1586 1374 392 NA NA NA 3958 594 1683 1405 463 NA NA NA
1680991200.0 136.721 NA 158 249 0 NA NA NA NA NA 228 328 0 NA NA NA NA NA 2632 6485 774 NA NA NA NA NA 2882 6646 812 NA NA NA NA
1680991200.0 136.722 NA 167 266 0 NA NA NA NA NA 235 350 0 NA NA NA NA NA 3183 7059 847 NA NA NA NA NA 3333 7174 872 NA NA NA NA
1680991200.0 136.723 NA 169 252 0 NA NA NA NA NA 230 326 0 NA NA NA NA NA 3044 7000 834 NA NA NA NA NA 3200 7105 857 NA NA NA NA
1680991200.0 136.724 NA 171 263 0 NA NA NA NA NA 234 351 0 NA NA NA NA NA 4279 8037 752 NA NA NA NA NA 4480 8223 786 NA NA NA NA
1680991200.0 136.725 NA 170 279 0 NA NA NA NA NA 230 353 0 NA NA NA NA NA 3023 6999 835 NA NA NA NA NA 3195 7098 856 NA NA NA NA
1680991200.0 136.726 NA 173 253 0 NA NA NA NA NA 231 332 0 NA NA NA NA NA 3347 7285 822 NA NA NA NA NA 3535 7393 862 NA NA NA NA
